vocab,elem,count
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#uriLookupEndpoint,11
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#temporalResolution,12
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#propertyPartition,24
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#distribution,56
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#qualifiedRelation,3
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#keyword,56
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#properties,27
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#class,26
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#downloadURL,50
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#startDate,12
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#dataDump,47
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#mediaType,45
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#openSearchDescription,4
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#linkPredicate,33
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#accessService,13
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#catalog,4
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#uriRegexPattern,20
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#spatialResolutionInMeters,4
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#sparqlEndpoint,79
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#distinctObjects,27
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#endDate,9
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#exampleResource,42
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#objectsTarget,25
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#classPartition,25
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#centroid,3
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#vocabulary,65
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#bbox,4
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#compressFormat,11
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#accessURL,49
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#uriSpace,39
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#theme,44
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#landingPage,42
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#classes,32
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#rootResource,18
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#endpointURL,26
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#property,24
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#entities,36
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#record,11
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#subjectsTarget,25
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#endpointDescription,11
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#service,7
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#inDataset,38
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#packageFormat,5
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#themeTaxonomy,15
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#distinctSubjects,28
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#subset,45
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#feature,26
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#hadRole,3
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#triples,56
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#servesDataset,20
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#contactPoint,39
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#target,15
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#documents,1
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#byteSize,18
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#dataset,40
