vocab,property,count
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#nodeKind,20
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#unionOf,184
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#or,16
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#versionIRI,79
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#member,12
http://spinrdf.org/spin#,http://spinrdf.org/spin#constructor,7
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#allValuesFrom,86
http://spinrdf.org/spin#,http://spinrdf.org/spin#update,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#description,12
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#class,22
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#name,12
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#onDatatype,25
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#select,8
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#imports,196
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#qualifiedMaxCount,4
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#minCount,22
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#exactMatch,119
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#inScheme,125
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#incompatibleWith,12
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subClassOf,254
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#backwardCompatibleWith,8
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,228
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#order,4
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#notation,110
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#historyNote,56
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#construct,6
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,228
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#disjointWith,114
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#closed,19
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,230
http://spinrdf.org/spin#,http://spinrdf.org/spin#constraint,7
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#argument1,20
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#narrowMatch,59
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#arguments,8
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#prefix,12
http://spinrdf.org/spin#,http://spinrdf.org/spin#systemProperty,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#detail,1
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#annotatedProperty,57
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#versionInfo,208
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#hasTopConcept,90
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,237
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#definition,143
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#returnType,3
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#cardinality,64
http://spinrdf.org/spin#,http://spinrdf.org/spin#columnType,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#conforms,5
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sameAs,210
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2003/11/swrl#argument2,20
http://spinrdf.org/spin#,http://spinrdf.org/spin#fix,2
http://spinrdf.org/spin#,http://spinrdf.org/spin#column,2
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#targetClass,25
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#jsFunctionName,3
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#broader,145
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#disjointUnionOf,18
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2008/05/skos-xl#literalForm,38
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#prefLabel,184
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#declare,12
