vocab1,vocab2,count
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2003/11/swrl#,20
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2000/01/rdf-schema#,20
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2003/11/swrl#,19
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2004/02/skos/core#,19
http://www.w3.org/ns/shacl#,http://www.w3.org/2003/11/swrl#,8
http://www.w3.org/2003/11/swrl#,http://www.w3.org/ns/shacl#,8
http://www.w3.org/ns/shacl#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,40
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/ns/shacl#,40
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,246
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/2004/02/skos/core#,246
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,300
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/2000/01/rdf-schema#,300
http://spinrdf.org/spin#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,10
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://spinrdf.org/spin#,10
http://www.w3.org/2002/07/owl#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,292
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/2002/07/owl#,292
http://www.w3.org/2002/07/owl#,http://www.w3.org/2003/11/swrl#,20
http://www.w3.org/2003/11/swrl#,http://www.w3.org/2002/07/owl#,20
http://www.w3.org/1999/02/22-rdf-syntax-ns#,,11
http://spinrdf.org/spin#,http://www.w3.org/2003/11/swrl#,8
http://www.w3.org/2003/11/swrl#,http://spinrdf.org/spin#,8
http://spinrdf.org/spin#,http://www.w3.org/2002/07/owl#,10
http://www.w3.org/2002/07/owl#,http://spinrdf.org/spin#,10
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2000/01/rdf-schema#,240
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2004/02/skos/core#,240
http://www.w3.org/ns/shacl#,http://www.w3.org/2000/01/rdf-schema#,40
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/ns/shacl#,40
http://www.w3.org/ns/shacl#,http://www.w3.org/2004/02/skos/core#,31
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/ns/shacl#,31
http://www.w3.org/2003/11/swrl#,http://www.w3.org/1999/02/22-rdf-syntax-ns#,20
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/2003/11/swrl#,20
http://spinrdf.org/spin#,http://www.w3.org/2000/01/rdf-schema#,10
http://www.w3.org/2002/07/owl#,http://www.w3.org/2004/02/skos/core#,236
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2002/07/owl#,236
http://www.w3.org/2000/01/rdf-schema#,http://spinrdf.org/spin#,10
http://spinrdf.org/spin#,http://www.w3.org/2004/02/skos/core#,10
http://www.w3.org/2002/07/owl#,http://www.w3.org/2000/01/rdf-schema#,288
http://www.w3.org/2004/02/skos/core#,http://spinrdf.org/spin#,10
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2002/07/owl#,288
http://www.w3.org/ns/shacl#,http://www.w3.org/2002/07/owl#,39
http://www.w3.org/2002/07/owl#,http://www.w3.org/ns/shacl#,39
http://www.w3.org/ns/shacl#,http://spinrdf.org/spin#,7
http://spinrdf.org/spin#,http://www.w3.org/ns/shacl#,7
